1,1 Certain infectious and parasitic diseases (A00-B99)
2,Certain intestinal infectious diseases (A00-A08)
3,Diarrhea and gastroenteritis of infectious origin (A09)
4,Tuberculosis (A16-A19)
5,"Tetanus (A33,A35)"
6,Diphtheria (A36)
7,Whooping cough (A37)
8,Meningococcal infection (A39)
9,3 Septicemia (A40-A41)
10,Congenital syphilis (A50)
11,Gonococcal infection (A54)
12,1 Viral diseases (A80-B34)
13,Acute poliomyelitis (A80)
14,Varicella (chickenpox) (B01)
15,Measles (B05)
16,Human immunodeficiency virus (HIV) disease (B20-B24)
17,Mumps (B26)
18,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34)"
19,Candidiasis (B37)
20,Malaria (B50-B54)
21,Pneumocystosis (B59)
22,All other and unspecified infectious and parasitic diseases
23,1 Neoplasms (C00-D48)
24,1 Malignant neoplasms (C00-C97)
25,Hodgkin's disease and non-Hodgkin's lymphomas (C81-C85)
26,Leukemia (C91-C95)
27,"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)"
28,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"
29,1 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
30,Anemias (D50-D64)
31,Hemorrhagic conditions and other diseases of blood and blood-forming organs
32,Certain disorders involving the immune mechanism (D80-D89)
33,"1 Endocrine, nutritional and metabolic diseases (E00-E88)"
34,"Short stature, not elsewhere classified (E34.3)"
35,Nutritional deficiencies (E40-E64)
36,Cystic fibrosis (E84)
37,"3 Volume depletion, disorders of fluid, electrolyte and acid-base balance"
38,"All other endocrine, nutritional and metabolic diseases"
39,1 Diseases of the nervous system (G00-G98)
40,"Meningitis (G00,G03)"
41,"Infantile spinal muscular atrophy, type I (Werdnig-Hoffman) (G12.0)"
42,Infantile cerebral palsy (G80)
43,"Anoxic brain damage, not elsewhere classified (G93.1)"
44,Other diseases of nervous system
45,Diseases of the ear and mastoid process (H60-H93)
46,1 Diseases of the circulatory system (I00-I99)
47,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28)
48,"Pericarditis, endocarditis and myocarditis (I30,I33,I40)"
49,Cardiomyopathy (I42)
50,Cardiac arrest (I46)
51,Cerebrovascular diseases (I60-I69)
52,"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,"
53,1 Diseases of the respiratory system (J00-J98)
54,Acute upper respiratory infections (J00-J06)
55,1 Influenza and pneumonia (J10-J18)
56,Influenza (J10-J11)
57,Pneumonia (J12-J18)
58,Acute bronchitis and acute bronchiolitis (J20-J21)
