1,Tuberculosis (A16-A19)
2,Syphilis (A50-A53)
3,Human immunodeficiency virus (HIV) disease (B20-B24)
4,Malignant neoplasms (C00-C97)
5,Malignant neoplasm of stomach (C16)
6,"Malignant neoplasms of colon, rectum and anus (C18-C21)"
7,Malignant neoplasm of pancreas (C25)
8,"Malignant neoplasms of trachea, bronchus and lung (C33-"
9,Malignant neoplasm of breast (C50)
10,"Malignant neoplasms of cervix uteri, corpus uteri and ovary"
11,Malignant neoplasm of prostate (C61)
12,Malignant neoplasms of urinary tract (C64-C68)
13,Non-Hodgkin's lymphoma (C82-C85)
14,Leukemia (C91-C95)
15,"Other malignant neoplasms (C00-C15,C17,C22-C24,C26-C32,"
16,Diabetes mellitus (E10-E14)
17,Alzheimer's disease (G30)
18,Major cardiovascular diseases (I00-I78)
19,"Diseases of heart (I00-I09,I11,I13,I20-I51)"
20,Hypertensive heart disease with or without renal diseas
21,Ischemic heart diseases (I20-I25)
22,"Other diseases of heart (I00-I09,I26-I51)"
23,Essential (primary) hypertension and hypertensive renal disease
24,Cerebrovascular diseases (I60-I69)
25,Atherosclerosis (I70)
26,Other diseases of circulatory system (I71-I78)
27,Influenza and pneumonia (J10-J18)
28,Chronic lower respiratory diseases (J40-J47)
29,Peptic ulcer (K25-K28)
30,"Chronic liver disease and cirrhosis (K70,K73-K74)"
31,"Nephritis, nephrotic syndrome, and nephrosis (N00-N07,N"
32,"Pregnancy, childbirth and the puerperium (O00-O99)"
33,Certain conditions originating in the perinatal period
34,"Congenital malformations, deformations and chromosomal abnormalities"
35,Sudden infant death syndrome (R95)
36,"Symptoms, signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden Infant Death Syndrome)"
37,"All other diseases (Residual) (A00-A09,A20-A49,A54-B19,"
38,"Motor vehicle accidents (V02-V04,V09.0,V12-V14,V19.0-V1"
39,All other and unspecified accidents and adverse effects
40,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"
41,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"
42,"All other external causes (Y10-Y36,Y87.2,Y89)"
